country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2011,65,55,236,5,1,1,40,3,15,421
Algeria,2011,4,1,7,0,0,0,2,0,1,15
Argentina,2011,0,0,1,0,0,0,0,0,0,1
Austria,2011,0,0,0,1,0,0,0,0,0,1
Bahrain,2011,0,0,1,0,0,0,0,0,0,1
Bangladesh,2011,5,1,4,1,0,0,1,0,1,13
Belarus,2011,0,0,1,0,0,0,0,0,0,1
Bhutan,2011,0,0,1,0,0,0,0,0,0,1
Bosnia-Herzegovina,2011,1,0,0,0,0,0,0,0,0,1
Bulgaria,2011,0,0,2,0,0,0,0,0,0,2
Burundi,2011,6,0,2,0,0,0,0,0,0,8
Cameroon,2011,2,0,0,0,0,0,1,0,0,3
Central African Republic,2011,3,0,0,0,0,0,0,0,0,3
Chile,2011,0,0,4,2,0,0,0,0,0,6
China,2011,2,0,2,0,0,0,0,0,0,4
Colombia,2011,13,3,57,11,1,0,7,0,2,94
Czech Republic,2011,0,0,1,0,0,0,0,0,0,1
Democratic Republic of the Congo,2011,9,1,0,2,0,0,1,0,3,16
Ecuador,2011,0,0,1,0,0,0,0,0,0,1
Egypt,2011,4,0,12,1,0,0,1,0,0,18
Eritrea,2011,0,0,0,0,0,0,1,0,0,1
Estonia,2011,0,0,1,0,0,0,0,0,0,1
Ethiopia,2011,1,0,1,0,0,0,0,0,1,3
France,2011,1,0,6,1,0,0,0,0,0,8
Georgia,2011,0,0,3,0,0,0,0,0,0,3
Germany,2011,1,0,7,0,0,0,0,0,0,8
Greece,2011,0,0,7,4,0,0,0,0,0,11
Honduras,2011,1,0,0,0,0,0,0,0,0,1
India,2011,205,10,209,89,0,0,98,7,27,645
Indonesia,2011,7,1,11,1,0,0,0,1,0,21
Iran,2011,7,2,4,0,0,0,0,0,0,13
Iraq,2011,297,153,816,6,0,0,28,1,7,1308
Ireland,2011,1,0,3,0,0,0,0,0,0,4
Israel,2011,3,0,47,1,0,0,0,0,0,51
Italy,2011,2,0,3,0,0,0,0,0,0,5
Ivory Coast,2011,1,0,2,0,0,0,0,0,0,3
Kazakhstan,2011,1,0,4,0,0,0,0,0,0,5
Kenya,2011,9,0,29,0,0,0,3,0,1,42
Kosovo,2011,0,0,1,0,0,0,0,0,0,1
Kuwait,2011,0,0,1,0,0,0,0,0,0,1
Kyrgyzstan,2011,0,0,1,0,0,0,0,0,0,1
Lebanon,2011,1,0,9,0,0,0,0,0,0,10
Libya,2011,2,0,0,0,0,0,0,0,0,2
Madagascar,2011,0,1,0,0,0,0,0,0,0,1
Mali,2011,0,0,1,1,0,0,2,0,0,4
Mauritania,2011,2,1,0,0,0,0,0,0,0,3
Mexico,2011,0,0,2,0,0,0,0,0,0,2
Morocco,2011,0,0,1,0,0,0,0,0,0,1
Myanmar,2011,0,0,2,0,0,0,0,0,0,2
Nepal,2011,11,1,25,2,0,0,2,1,4,46
Netherlands,2011,0,0,0,2,0,0,0,0,0,2
Niger,2011,1,0,0,0,0,0,1,0,0,2
Nigeria,2011,82,3,83,4,0,0,3,0,0,175
Norway,2011,1,0,1,0,1,0,0,0,0,3
Pakistan,2011,304,42,553,25,1,0,71,1,15,1012
Paraguay,2011,0,0,3,0,0,0,1,0,0,4
Philippines,2011,45,11,53,22,1,0,13,0,6,151
Portugal,2011,0,0,0,2,0,0,0,0,0,2
Russia,2011,60,21,101,2,0,0,3,0,1,188
Rwanda,2011,0,0,2,0,0,0,0,0,0,2
Saudi Arabia,2011,1,0,0,1,0,0,0,0,0,2
Senegal,2011,3,0,0,0,0,0,1,0,0,4
Somalia,2011,45,14,53,8,1,0,53,3,8,185
Sudan,2011,19,0,4,3,1,0,4,0,7,38
Sweden,2011,0,0,0,1,0,0,0,0,0,1
Switzerland,2011,0,0,3,0,0,0,0,0,0,3
Syria,2011,15,0,26,1,0,0,5,0,2,49
Thailand,2011,89,2,81,8,0,0,0,0,2,182
Tunisia,2011,1,0,2,0,0,0,0,0,0,3
Turkey,2011,9,1,14,14,1,1,10,0,1,51
Ukraine,2011,0,0,3,0,0,0,0,0,0,3
United Kingdom,2011,6,0,30,9,1,0,0,1,0,47
United States,2011,3,0,3,3,0,0,1,0,0,10
West Bank and Gaza Strip,2011,3,0,8,6,0,0,2,1,0,20
Yemen,2011,41,18,38,3,0,0,8,1,9,118
