country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2014,356,108,1017,47,2,6,124,2,162,1824
Albania,2014,0,0,2,0,0,0,0,0,0,2
Algeria,2014,5,2,4,0,0,0,1,0,1,13
Argentina,2014,0,0,0,1,0,0,0,0,0,1
Australia,2014,2,0,0,5,0,1,0,0,0,8
Azerbaijan,2014,0,0,1,1,0,0,0,0,1,3
Bahrain,2014,7,2,26,7,0,0,0,0,0,42
Bangladesh,2014,18,8,43,56,0,0,4,0,1,130
Belgium,2014,1,0,0,1,0,0,0,0,0,2
Bhutan,2014,0,0,0,0,0,0,1,0,0,1
Bosnia-Herzegovina,2014,0,2,1,0,0,0,0,0,0,3
Brazil,2014,1,1,0,0,0,0,1,0,0,3
Bulgaria,2014,0,0,0,1,0,0,0,0,0,1
Burundi,2014,5,0,0,0,0,0,0,0,0,5
Cameroon,2014,18,1,9,1,0,0,17,0,22,68
Canada,2014,3,0,0,0,0,0,0,0,0,3
Central African Republic,2014,52,7,12,1,0,1,18,0,3,94
Chad,2014,1,0,0,0,0,0,0,0,0,1
Chile,2014,1,0,10,5,0,0,0,1,0,17
China,2014,14,1,21,0,0,0,0,0,1,37
Colombia,2014,30,9,134,20,0,0,24,1,13,231
Cyprus,2014,0,0,5,0,0,0,0,0,0,5
Czech Republic,2014,0,0,2,1,0,0,0,2,0,5
Democratic Republic of the Congo,2014,40,5,6,3,0,0,42,0,14,110
Djibouti,2014,0,0,1,0,0,0,0,0,0,1
Dominican Republic,2014,0,0,0,1,0,0,0,0,0,1
Egypt,2014,76,13,232,10,2,0,21,0,0,354
Ethiopia,2014,2,0,0,0,0,0,0,0,0,2
France,2014,1,0,4,7,0,0,0,2,0,14
Georgia,2014,0,0,1,0,0,0,1,0,0,2
Germany,2014,1,0,0,12,0,0,0,0,0,13
Ghana,2014,0,1,0,0,0,0,0,0,0,1
Greece,2014,4,0,11,11,0,0,0,0,0,26
Honduras,2014,0,1,0,0,0,0,0,0,0,1
Hungary,2014,0,0,1,0,0,0,0,0,0,1
Iceland,2014,0,0,0,1,0,0,0,0,0,1
India,2014,211,50,365,72,2,3,129,12,16,860
Indonesia,2014,19,1,8,4,0,0,3,0,0,35
Iran,2014,5,1,2,0,0,0,1,0,0,9
Iraq,2014,543,173,2871,32,6,6,185,0,117,3933
Ireland,2014,0,0,24,9,0,0,0,0,0,33
Israel,2014,16,0,270,4,0,0,1,2,0,293
Italy,2014,0,0,4,2,0,0,0,1,0,7
Ivory Coast,2014,1,0,0,0,0,0,0,0,0,1
Jamaica,2014,1,0,0,0,0,0,0,0,0,1
Japan,2014,0,0,5,0,0,0,0,0,0,5
Jordan,2014,2,0,1,0,0,0,0,0,0,3
Kenya,2014,47,6,46,0,5,1,9,0,1,115
Kosovo,2014,1,2,1,0,0,0,0,0,0,4
Kyrgyzstan,2014,0,1,1,0,0,0,0,0,0,2
Lebanon,2014,51,7,116,7,0,0,21,1,1,204
Liberia,2014,0,0,0,1,0,0,0,0,0,1
Libya,2014,174,75,304,30,4,2,114,1,24,728
Macedonia,2014,0,0,3,0,0,0,0,0,0,3
Madagascar,2014,0,0,1,0,0,0,0,0,0,1
Malaysia,2014,1,1,2,3,0,0,4,0,1,12
Maldives,2014,0,0,0,8,0,0,1,0,0,9
Mali,2014,11,0,46,0,1,1,10,0,0,69
Malta,2014,0,0,1,0,0,0,0,0,0,1
Mexico,2014,0,1,0,1,0,0,3,0,0,5
Mozambique,2014,15,0,0,2,0,0,1,0,4,22
Myanmar,2014,2,1,8,0,0,0,2,0,2,15
Nepal,2014,1,1,3,1,0,0,0,0,1,7
Netherlands,2014,0,0,0,1,0,0,0,0,0,1
New Zealand,2014,0,0,0,1,0,0,0,0,0,1
Nicaragua,2014,2,0,0,0,0,0,0,0,0,2
Niger,2014,5,0,0,0,0,0,0,0,0,5
Nigeria,2014,373,27,130,53,3,2,106,2,18,714
Pakistan,2014,640,124,1205,36,1,7,106,3,29,2151
Paraguay,2014,3,0,3,4,0,1,3,0,1,15
Peru,2014,7,0,3,0,0,0,1,0,1,12
Philippines,2014,243,67,162,46,1,1,55,0,22,597
Russia,2014,19,2,24,1,0,0,1,1,0,48
Rwanda,2014,0,0,2,0,0,0,0,0,0,2
Saudi Arabia,2014,11,1,2,0,0,0,0,0,0,14
Senegal,2014,0,0,1,0,1,0,0,0,0,2
Somalia,2014,282,72,278,14,3,1,69,0,153,872
South Africa,2014,2,3,3,12,0,0,0,0,0,20
South Sudan,2014,13,2,1,4,0,0,9,0,11,40
Spain,2014,0,0,3,1,0,0,0,0,0,4
Sri Lanka,2014,1,1,1,9,0,0,2,0,2,16
Sudan,2014,64,1,6,15,4,1,52,4,10,157
Sweden,2014,0,0,4,1,0,0,0,0,0,5
Syria,2014,24,5,228,7,0,1,40,1,25,331
Taiwan,2014,0,0,0,0,0,0,0,1,0,1
