country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2012,337,72,887,26,0,1,57,15,74,1469
Algeria,2012,8,0,30,0,0,0,1,0,2,41
Argentina,2012,0,1,1,0,0,0,0,0,0,2
Bahrain,2012,5,0,18,2,0,0,0,1,0,26
Bangladesh,2012,3,4,10,0,0,0,1,0,0,18
Belarus,2012,0,0,3,0,0,0,0,0,0,3
Belgium,2012,0,0,0,1,0,0,0,0,0,1
Bolivia,2012,1,0,0,0,0,0,0,0,0,1
Brazil,2012,0,1,0,0,0,0,0,0,0,1
Bulgaria,2012,0,0,2,0,0,0,0,0,0,2
Burundi,2012,1,0,2,0,0,0,0,0,1,4
Canada,2012,0,0,1,1,0,0,0,1,0,3
Central African Republic,2012,2,0,0,0,0,0,1,0,1,4
Chile,2012,0,0,2,0,0,0,0,0,0,2
China,2012,1,0,1,0,1,0,0,1,0,4
Colombia,2012,18,0,83,0,0,0,9,0,5,115
Cyprus,2012,0,0,1,0,0,0,0,0,0,1
Democratic Republic of the Congo,2012,15,1,5,1,0,0,1,0,2,25
Ecuador,2012,0,0,0,0,0,0,1,0,0,1
Egypt,2012,28,1,11,0,0,1,7,1,0,49
Ethiopia,2012,0,0,0,0,0,0,2,0,1,3
France,2012,3,0,60,1,0,1,0,1,0,66
Georgia,2012,0,1,2,0,0,0,0,0,0,3
Germany,2012,0,0,2,3,0,0,0,0,0,5
Greece,2012,1,0,16,4,0,0,0,1,0,22
Guatemala,2012,0,1,0,0,0,0,0,0,0,1
Guinea-Bissau,2012,0,1,0,0,0,0,0,0,0,1
Iceland,2012,0,0,1,0,0,0,0,0,0,1
India,2012,121,30,342,50,0,3,56,3,6,611
Indonesia,2012,15,3,19,2,0,0,0,0,0,39
Iran,2012,2,0,2,0,0,0,0,0,1,5
Iraq,2012,247,58,1118,2,1,0,7,0,4,1437
Ireland,2012,1,0,28,0,0,0,0,0,0,29
Israel,2012,3,0,61,1,0,0,0,0,0,65
Italy,2012,1,1,7,1,0,0,0,0,0,10
Ivory Coast,2012,14,0,0,0,0,0,1,0,1,16
Jordan,2012,1,1,0,0,0,0,0,0,0,2
Kazakhstan,2012,2,1,0,1,0,0,0,0,0,4
Kenya,2012,27,4,42,2,0,0,4,0,1,80
Kosovo,2012,2,0,2,0,0,0,0,0,0,4
Laos,2012,1,0,0,0,0,0,0,0,0,1
Lebanon,2012,4,2,8,0,0,0,1,0,0,15
Liberia,2012,0,0,0,1,0,0,0,0,0,1
Libya,2012,13,11,24,5,0,0,4,0,0,57
Macedonia,2012,1,0,0,0,0,0,0,0,0,1
Madagascar,2012,0,0,1,0,0,0,0,0,0,1
Malaysia,2012,1,0,0,0,0,0,1,0,0,2
Maldives,2012,0,1,0,0,0,0,0,0,0,1
Mali,2012,6,1,0,4,0,0,6,1,1,19
Mexico,2012,4,1,5,1,0,0,4,1,0,16
Moldova,2012,0,0,1,0,0,0,0,0,0,1
Mozambique,2012,1,0,0,0,0,0,0,0,0,1
Myanmar,2012,0,0,14,0,0,0,2,0,1,17
Nepal,2012,1,2,41,1,0,0,1,0,0,46
Niger,2012,0,0,0,0,0,0,1,0,0,1
Nigeria,2012,247,32,220,81,0,4,24,1,7,616
Pakistan,2012,422,74,1038,18,1,4,71,1,25,1654
Paraguay,2012,1,0,2,1,0,0,0,0,0,4
Peru,2012,2,0,0,1,0,0,2,0,1,6
Philippines,2012,83,22,111,14,1,1,13,0,4,249
Russia,2012,45,14,88,0,0,0,1,2,1,151
Rwanda,2012,1,0,5,0,0,0,0,0,0,6
Saudi Arabia,2012,6,0,0,0,0,0,0,0,0,6
Senegal,2012,3,0,3,0,1,0,0,0,5,12
Serbia,2012,2,0,1,0,0,0,0,0,0,3
Somalia,2012,82,37,180,0,0,0,8,0,18,325
South Africa,2012,1,3,0,0,0,0,0,0,0,4
South Sudan,2012,2,0,0,0,0,0,2,0,1,5
Spain,2012,0,0,1,0,0,0,0,0,0,1
Sri Lanka,2012,1,0,3,0,0,0,0,0,0,4
Sudan,2012,18,3,10,1,0,1,6,0,1,40
Sweden,2012,0,0,2,0,0,0,0,0,0,2
Syria,2012,16,9,129,2,0,0,20,0,4,180
Tajikistan,2012,1,3,1,0,0,0,0,0,0,5
Thailand,2012,91,12,157,18,0,0,0,0,1,279
Tunisia,2012,0,0,0,3,0,0,0,0,0,3
Turkey,2012,60,2,88,16,0,0,16,0,6,188
Uganda,2012,0,4,0,0,0,0,0,0,0,4
Ukraine,2012,0,0,7,0,0,0,1,0,0,8
United Kingdom,2012,6,1,37,11,0,0,0,0,0,55
United States,2012,3,0,2,15,0,0,0,0,0,20
Venezuela,2012,0,1,0,0,0,0,0,0,0,1
West Bank and Gaza Strip,2012,4,1,12,6,0,0,0,0,0,23
Yemen,2012,97,44,133,8,0,2,21,0,7,312
