country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2009,95,37,276,26,3,1,48,6,11,503
Albania,2009,0,0,1,0,0,0,0,0,0,1
Algeria,2009,24,0,80,1,0,0,1,0,2,108
Angola,2009,1,0,0,0,0,0,0,0,0,1
Argentina,2009,0,0,1,0,0,0,0,0,0,1
Armenia,2009,0,1,0,0,0,0,0,0,0,1
Australia,2009,0,0,1,0,0,0,0,0,0,1
Austria,2009,2,0,0,1,0,0,0,0,0,3
Azerbaijan,2009,0,1,1,0,0,0,0,0,0,2
Bangladesh,2009,5,2,10,1,0,0,4,1,4,27
Belgium,2009,0,0,0,1,0,0,0,0,0,1
Bolivia,2009,0,0,3,0,0,0,0,0,0,3
Bosnia-Herzegovina,2009,0,0,1,0,0,0,0,0,0,1
Cameroon,2009,0,0,0,0,0,0,1,0,0,1
Canada,2009,0,0,3,1,0,0,0,0,0,4
Central African Republic,2009,2,0,0,0,0,0,2,0,1,5
Chad,2009,1,0,0,0,0,0,2,0,0,3
Chile,2009,0,0,7,1,0,0,0,0,0,8
China,2009,3,0,2,0,0,0,0,2,0,7
Colombia,2009,30,9,69,20,4,0,7,0,0,139
Croatia,2009,0,0,1,0,0,0,0,0,0,1
Czech Republic,2009,0,0,1,0,0,0,0,0,0,1
Democratic Republic of the Congo,2009,20,1,0,10,0,0,12,0,11,54
Ecuador,2009,0,0,1,0,0,0,0,0,0,1
Egypt,2009,0,0,2,0,0,0,0,0,0,2
Equatorial Guinea,2009,1,0,0,0,0,0,0,0,0,1
Eritrea,2009,0,0,1,0,0,0,0,0,0,1
Ethiopia,2009,0,0,1,0,0,0,0,0,1,2
France,2009,3,0,4,2,0,0,0,0,0,9
Georgia,2009,2,0,21,1,0,0,1,0,0,25
Germany,2009,0,0,0,4,0,0,0,0,0,4
Greece,2009,6,0,21,87,0,0,0,0,1,115
Guinea-Bissau,2009,0,1,0,0,0,0,0,0,0,1
Honduras,2009,0,2,6,0,0,0,0,0,0,8
Hungary,2009,0,0,0,1,0,0,0,0,0,1
India,2009,232,12,246,82,5,0,54,2,39,672
Indonesia,2009,11,0,7,1,0,0,0,0,0,19
Iran,2009,6,0,7,1,0,0,0,0,1,15
Iraq,2009,122,73,913,6,0,0,16,0,7,1137
Israel,2009,0,0,35,0,0,0,0,1,0,36
Italy,2009,0,0,4,0,0,0,0,0,0,4
Japan,2009,0,0,0,1,0,0,0,0,0,1
Kenya,2009,0,0,0,0,0,0,1,0,0,1
Kosovo,2009,1,0,0,0,0,0,0,0,0,1
Lebanon,2009,2,0,12,0,0,0,0,0,0,14
Lesotho,2009,0,0,0,0,0,0,1,0,0,1
Macedonia,2009,0,0,0,0,0,0,0,1,0,1
Madagascar,2009,1,0,0,0,0,0,0,0,0,1
Malaysia,2009,1,0,0,0,0,0,0,0,0,1
Mali,2009,1,0,0,0,0,0,4,0,1,6
Mauritania,2009,0,0,1,0,0,0,4,0,0,5
Mexico,2009,0,1,0,0,0,0,0,0,0,1
Moldova,2009,0,0,1,0,0,0,0,0,0,1
Myanmar,2009,1,0,12,0,0,0,0,0,1,14
Nepal,2009,7,0,22,3,0,0,2,1,4,39
Netherlands,2009,0,1,0,0,0,0,0,0,0,1
Niger,2009,1,0,0,0,0,0,1,0,2,4
Nigeria,2009,9,0,16,6,0,0,5,0,6,42
Pakistan,2009,118,29,419,18,3,0,56,2,22,667
Panama,2009,1,0,0,0,0,0,0,0,0,1
Peru,2009,1,0,3,0,0,0,0,0,0,4
Philippines,2009,63,13,100,26,2,1,16,0,8,229
Russia,2009,48,16,81,0,0,0,7,0,0,152
Rwanda,2009,0,0,1,0,0,0,0,0,0,1
Saudi Arabia,2009,2,1,0,0,0,0,0,0,0,3
Senegal,2009,2,0,0,0,0,0,0,0,1,3
Serbia,2009,0,1,1,1,0,0,0,0,0,3
Somalia,2009,35,8,48,2,1,0,18,2,8,122
Spain,2009,2,1,14,4,0,0,0,0,0,21
Sri Lanka,2009,11,0,22,1,0,1,2,0,0,37
Sudan,2009,12,3,0,4,0,0,5,0,2,26
Sweden,2009,0,0,0,1,0,0,0,0,0,1
Tajikistan,2009,1,0,0,0,0,0,0,0,0,1
Thailand,2009,207,14,55,21,0,0,0,0,1,298
Turkey,2009,2,0,7,2,0,0,0,1,1,13
Uganda,2009,0,0,2,0,0,0,0,0,0,2
Ukraine,2009,0,0,2,0,0,0,0,0,0,2
United Kingdom,2009,4,0,8,6,5,0,0,0,0,23
United States,2009,7,0,2,2,0,0,0,0,0,11
Uzbekistan,2009,0,0,2,0,0,0,0,0,0,2
Venezuela,2009,0,0,1,0,0,1,1,0,0,3
West Bank and Gaza Strip,2009,3,0,4,2,0,0,0,0,1,10
Yemen,2009,6,1,6,1,0,0,8,0,1,23
