country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2015,546,178,738,65,1,9,189,15,187,1928
Albania,2015,0,1,3,0,0,0,0,0,0,4
Algeria,2015,6,1,6,0,0,0,0,0,3,16
Argentina,2015,0,0,1,0,0,0,0,0,0,1
Armenia,2015,1,0,0,0,0,0,1,0,0,2
Australia,2015,1,0,1,12,0,0,0,0,0,14
Bahrain,2015,3,0,14,1,0,0,0,0,0,18
Bangladesh,2015,28,38,321,71,0,2,3,3,3,469
Bosnia-Herzegovina,2015,3,0,2,1,0,0,0,0,0,6
Brazil,2015,0,3,2,0,0,0,0,0,0,5
Bulgaria,2015,0,0,1,1,0,0,0,0,0,2
Burkina Faso,2015,2,0,0,1,0,1,2,0,0,6
Burundi,2015,35,14,46,1,0,1,2,0,3,102
Cameroon,2015,15,1,27,7,2,1,16,0,14,83
Canada,2015,0,0,2,2,0,0,0,1,0,5
Central African Republic,2015,23,1,4,0,1,1,14,0,4,48
Chad,2015,8,0,13,1,0,0,1,0,4,27
Chile,2015,0,0,1,0,0,0,0,0,0,1
China,2015,7,1,5,0,0,0,1,2,1,17
Colombia,2015,21,7,77,14,0,0,9,0,8,136
Cyprus,2015,0,0,3,0,0,0,0,0,0,3
Czech Republic,2015,0,0,0,4,0,0,0,0,0,4
Democratic Republic of the Congo,2015,54,1,3,2,0,5,52,0,26,143
Denmark,2015,2,0,0,2,0,0,0,0,0,4
Djibouti,2015,1,0,0,0,0,0,0,0,0,1
Ecuador,2015,0,0,1,0,0,0,0,0,0,1
Egypt,2015,124,25,442,15,3,1,18,0,19,647
Estonia,2015,1,0,1,0,0,0,0,0,0,2
Ethiopia,2015,2,0,2,0,0,0,2,0,1,7
Finland,2015,1,0,0,8,0,0,0,0,0,9
France,2015,17,0,7,7,0,5,0,1,0,37
Georgia,2015,0,0,1,0,0,0,0,0,0,1
Germany,2015,13,2,3,44,0,0,0,2,1,65
Greece,2015,2,2,11,12,0,1,0,2,1,31
Guinea,2015,0,1,1,0,0,0,0,0,0,2
Hungary,2015,0,0,1,0,0,0,0,0,0,1
India,2015,172,34,395,91,3,4,147,10,28,884
Indonesia,2015,10,0,5,8,0,0,5,0,1,29
Iran,2015,4,0,4,0,0,0,0,0,1,9
Iraq,2015,145,86,2200,9,0,2,134,0,175,2751
Ireland,2015,1,0,25,2,0,0,0,0,0,28
Israel,2015,35,1,14,2,0,0,0,4,2,58
Italy,2015,1,0,1,1,0,0,1,1,0,5
Ivory Coast,2015,3,0,0,0,0,0,1,0,0,4
Japan,2015,0,0,2,8,0,0,0,0,0,10
Jordan,2015,1,0,1,2,0,0,0,0,0,4
Kenya,2015,24,6,28,0,2,6,1,0,4,71
Kosovo,2015,1,0,1,0,0,0,0,0,0,2
Kuwait,2015,0,0,1,0,0,0,0,0,0,1
Kyrgyzstan,2015,2,0,0,1,0,0,0,0,0,3
Laos,2015,0,0,2,0,0,0,0,0,0,2
Lebanon,2015,7,4,22,1,0,0,9,0,1,44
Lesotho,2015,1,0,0,0,0,0,0,0,0,1
Libya,2015,62,23,269,13,5,2,111,4,54,543
Macedonia,2015,0,0,3,0,0,1,0,0,0,4
Malaysia,2015,2,0,0,1,0,0,1,1,0,5
Maldives,2015,0,1,1,0,0,0,0,0,0,2
Mali,2015,43,4,36,6,4,5,12,0,11,121
Malta,2015,0,0,1,0,0,0,0,0,0,1
Mexico,2015,1,6,11,0,0,0,1,0,0,19
Montenegro,2015,0,0,0,1,0,0,0,0,0,1
Morocco,2015,0,0,0,0,0,0,1,0,0,1
Mozambique,2015,3,3,0,0,0,0,2,0,0,8
Myanmar,2015,11,1,11,6,0,0,7,0,1,37
Nepal,2015,3,2,20,22,0,1,0,0,0,48
Netherlands,2015,0,0,0,3,0,0,0,0,0,3
Niger,2015,22,0,11,1,0,0,0,0,7,41
Nigeria,2015,319,26,203,16,0,4,44,0,26,638
Pakistan,2015,360,149,627,24,2,4,58,1,18,1243
Paraguay,2015,5,0,1,3,0,2,6,0,2,19
Peru,2015,1,4,3,0,0,0,0,0,2,10
Philippines,2015,273,105,227,44,2,5,49,0,16,721
Qatar,2015,0,0,0,0,0,0,0,0,1,1
