country,iyear,Armed Assault,Assassination,Bombing/Explosion,Facility/Infrastructure Attack,Hijacking,Hostage Taking (Barricade Incident),Hostage Taking (Kidnapping),Unarmed Assault,Unknown,total
Afghanistan,2013,334,84,829,29,0,0,87,6,74,1443
Albania,2013,0,0,1,0,0,0,0,0,0,1
Algeria,2013,5,0,15,0,1,1,0,0,0,22
Argentina,2013,1,0,0,1,0,0,0,0,0,2
Armenia,2013,0,1,0,0,0,0,0,0,0,1
Australia,2013,0,0,0,1,0,0,0,0,0,1
Austria,2013,0,0,0,1,0,0,0,0,0,1
Bahamas,2013,0,0,1,0,0,0,0,0,0,1
Bahrain,2013,8,0,33,10,0,0,0,0,1,52
Bangladesh,2013,15,12,71,35,0,0,4,2,0,139
Belize,2013,0,0,0,1,0,0,0,0,0,1
Bosnia-Herzegovina,2013,0,0,1,0,0,0,0,0,0,1
Brazil,2013,0,2,1,0,0,0,0,0,0,3
Bulgaria,2013,0,1,1,0,0,0,0,1,0,3
Burkina Faso,2013,0,1,0,0,0,0,0,0,0,1
Burundi,2013,2,0,0,0,0,0,0,0,0,2
Cambodia,2013,0,0,2,0,0,0,0,0,0,2
Cameroon,2013,1,0,0,0,0,0,2,0,0,3
Canada,2013,0,0,2,2,0,0,0,0,0,4
Central African Republic,2013,14,1,2,0,0,0,2,0,1,20
Chile,2013,1,0,0,4,0,0,0,0,0,5
China,2013,10,0,1,1,0,0,0,0,0,12
Colombia,2013,27,4,87,6,0,0,18,0,7,149
Croatia,2013,0,0,2,0,0,0,0,0,0,2
Cyprus,2013,0,0,9,0,0,0,0,0,0,9
Czech Republic,2013,0,0,1,0,0,0,0,0,0,1
Democratic Republic of the Congo,2013,12,0,3,0,0,1,6,0,0,22
Denmark,2013,0,1,0,0,0,0,0,0,0,1
Dominican Republic,2013,0,1,0,0,0,0,0,0,0,1
Ecuador,2013,0,2,0,0,0,0,0,0,0,2
Egypt,2013,187,6,110,5,0,0,6,0,7,321
Ethiopia,2013,0,0,3,0,0,0,0,0,2,5
France,2013,3,0,8,5,0,0,1,1,0,18
Georgia,2013,0,1,1,0,0,0,0,0,0,2
Greece,2013,4,2,21,25,0,0,0,0,2,54
Guatemala,2013,2,4,0,0,0,0,0,0,0,6
Guinea,2013,0,0,0,2,0,0,0,0,0,2
Honduras,2013,1,0,1,0,0,0,0,0,0,2
India,2013,166,45,342,52,2,2,71,4,10,694
Indonesia,2013,13,3,9,6,0,0,1,0,0,32
Iran,2013,4,1,3,0,0,0,1,0,2,11
Iraq,2013,491,165,2128,6,1,10,39,0,12,2852
Ireland,2013,1,0,25,1,0,0,0,0,0,27
Israel,2013,5,1,26,5,0,0,0,0,0,37
Italy,2013,1,0,4,0,0,0,0,2,0,7
Ivory Coast,2013,3,1,0,0,0,0,0,0,0,4
Japan,2013,0,0,1,0,0,0,0,0,0,1
Jordan,2013,0,0,1,0,0,0,0,0,0,1
Kazakhstan,2013,0,0,0,3,0,0,0,1,0,4
Kenya,2013,33,2,33,4,1,1,4,1,1,80
Kosovo,2013,1,1,2,1,0,0,0,0,1,6
Lebanon,2013,23,5,85,1,0,0,4,3,0,121
Libya,2013,83,50,122,9,1,0,23,0,3,291
Madagascar,2013,0,0,1,1,0,0,0,0,0,2
Malaysia,2013,0,0,6,6,0,0,1,0,0,13
Maldives,2013,2,0,0,0,0,1,0,0,0,3
Mali,2013,10,0,40,1,0,0,3,0,4,58
Mexico,2013,1,2,1,3,0,0,1,0,0,8
Montenegro,2013,0,0,2,0,0,0,0,0,0,2
Mozambique,2013,15,0,0,2,0,0,1,0,0,18
Myanmar,2013,1,0,17,0,0,0,0,0,0,18
Nepal,2013,17,11,47,18,0,0,4,1,6,104
Niger,2013,2,0,2,0,0,0,0,0,0,4
Nigeria,2013,196,27,55,17,0,0,45,0,6,346
Pakistan,2013,525,161,1320,64,1,5,115,4,20,2215
Paraguay,2013,3,2,2,1,0,0,2,0,0,10
Peru,2013,3,1,2,2,0,0,1,0,1,10
Philippines,2013,231,109,181,52,1,3,60,1,13,651
Republic of the Congo,2013,0,0,1,0,0,0,0,0,0,1
Russia,2013,43,11,80,6,0,0,2,2,0,144
Rwanda,2013,0,0,4,0,0,0,0,0,0,4
Saudi Arabia,2013,4,0,1,1,0,0,0,0,0,6
Senegal,2013,1,0,1,0,0,0,1,0,0,3
Somalia,2013,88,26,167,3,1,0,7,0,50,342
South Africa,2013,1,4,2,6,0,0,0,0,0,13
South Sudan,2013,8,0,0,2,0,0,3,0,0,13
Spain,2013,0,0,5,0,0,0,0,0,0,5
Sri Lanka,2013,2,1,4,4,0,0,0,1,2,14
Sudan,2013,21,0,10,2,2,0,8,0,3,46
Switzerland,2013,0,0,2,0,0,0,0,0,0,2
Syria,2013,20,10,193,2,2,0,51,0,7,285
Taiwan,2013,0,0,2,0,0,0,0,0,0,2
Tanzania,2013,2,0,2,1,0,0,0,2,0,7
Thailand,2013,124,17,254,72,0,0,1,1,3,472
Trinidad and Tobago,2013,3,0,0,0,0,0,0,0,0,3
Tunisia,2013,7,3,13,4,0,0,0,0,2,29
Turkey,2013,10,0,19,2,0,0,11,0,0,42
Ukraine,2013,0,0,1,3,0,0,0,1,0,5
United Arab Emirates,2013,0,0,1,0,0,0,0,0,0,1
United Kingdom,2013,21,1,83,29,2,1,0,0,0,137
United States,2013,3,0,6,7,1,0,0,3,0,20
Venezuela,2013,1,0,0,0,0,0,0,0,0,1
West Bank and Gaza Strip,2013,26,3,22,10,0,0,2,1,0,64
Yemen,2013,118,67,149,26,1,1,46,1,16,425
